epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.7068,1.91523,3.53864,1.86391,0.02903,0.52668,0.1722,0.07842,1.46269,3.46678,1.51773,0.000333333,0.000333333,0.000333333
2,17.4698,1.57632,3.39811,1.60705,0.04193,0.48099,0.17211,0.08806,1.6934,3.37999,1.52161,0.00073515,0.00073515,0.00073515
3,25.144,1.67992,3.29336,1.59894,0.04193,0.48099,0.17211,0.08806,1.6934,3.37999,1.52161,0.00112047,0.00112047,0.00112047
4,32.6503,1.60822,3.07258,1.51685,0.03225,0.49187,0.19685,0.10102,1.60995,3.26986,1.51913,0.00117575,0.00117575,0.00117575
5,39.902,1.57295,2.9893,1.511,0.03479,0.50775,0.25744,0.13046,1.53952,3.20772,1.58085,0.001151,0.001151,0.001151
6,46.9548,1.55226,2.87243,1.51584,0.03479,0.50775,0.25744,0.13046,1.53952,3.20772,1.58085,0.00112625,0.00112625,0.00112625
7,54.0821,1.5499,2.82056,1.51613,0.03512,0.42005,0.24213,0.09546,1.86764,3.28662,1.76676,0.0011015,0.0011015,0.0011015
8,61.2456,1.68004,2.69514,1.57009,0.04554,0.50816,0.32458,0.17455,1.49489,3.10825,1.40866,0.00107675,0.00107675,0.00107675
9,69.7206,1.47854,2.51451,1.48533,0.04554,0.50816,0.32458,0.17455,1.49489,3.10825,1.40866,0.001052,0.001052,0.001052
10,76.472,1.43741,2.37507,1.47326,0.04572,0.57134,0.32589,0.19109,1.35978,3.09659,1.36461,0.00102725,0.00102725,0.00102725
11,83.0794,1.43048,2.26555,1.44455,0.04572,0.57134,0.32589,0.19109,1.35978,3.09659,1.36461,0.0010025,0.0010025,0.0010025
12,89.6156,1.39011,2.11759,1.41142,0.0409,0.49658,0.35543,0.19212,1.34717,3.12558,1.41211,0.00097775,0.00097775,0.00097775
13,96.0599,1.4543,2.06745,1.4292,0.03693,0.59658,0.3693,0.18898,1.40653,3.16447,1.4789,0.000953,0.000953,0.000953
14,103.773,1.38006,1.96495,1.39635,0.03693,0.59658,0.3693,0.18898,1.40653,3.16447,1.4789,0.00092825,0.00092825,0.00092825
15,110.354,1.3995,1.98259,1.41344,0.87325,0.27083,0.38518,0.21049,1.40677,3.13769,1.4921,0.0009035,0.0009035,0.0009035
16,117.854,1.40552,1.86492,1.40753,0.99212,0.13199,0.43103,0.24519,1.39516,2.98279,1.45423,0.00087875,0.00087875,0.00087875
17,126.829,1.41116,1.74493,1.40219,0.99212,0.13199,0.43103,0.24519,1.39516,2.98279,1.45423,0.000854,0.000854,0.000854
18,134.633,1.34257,1.65322,1.40483,0.97062,0.26034,0.48703,0.2738,1.37571,2.65809,1.37317,0.00082925,0.00082925,0.00082925
19,141.227,1.31459,1.61623,1.36655,0.97062,0.26034,0.48703,0.2738,1.37571,2.65809,1.37317,0.0008045,0.0008045,0.0008045
20,148.251,1.27842,1.54287,1.34828,0.94547,0.34504,0.53126,0.31295,1.37166,2.44261,1.38299,0.00077975,0.00077975,0.00077975
21,155.638,1.27304,1.53557,1.37682,0.93318,0.46705,0.58177,0.35384,1.34498,2.08395,1.36756,0.000755,0.000755,0.000755
22,162.342,1.27114,1.45481,1.31101,0.93318,0.46705,0.58177,0.35384,1.34498,2.08395,1.36756,0.00073025,0.00073025,0.00073025
23,168.934,1.29494,1.4425,1.35346,0.83355,0.52444,0.57774,0.34164,1.34358,1.69636,1.38344,0.0007055,0.0007055,0.0007055
24,176.856,1.27224,1.44738,1.34186,0.87607,0.53739,0.59332,0.36271,1.29178,1.49826,1.37931,0.00068075,0.00068075,0.00068075
25,186.068,1.25968,1.39463,1.3509,0.87607,0.53739,0.59332,0.36271,1.29178,1.49826,1.37931,0.000656,0.000656,0.000656
26,194.368,1.21589,1.36126,1.32851,0.87233,0.54411,0.62199,0.38614,1.20004,1.36554,1.30829,0.00063125,0.00063125,0.00063125
27,202.416,1.25006,1.34677,1.34617,0.87233,0.54411,0.62199,0.38614,1.20004,1.36554,1.30829,0.0006065,0.0006065,0.0006065
28,209.49,1.20107,1.26335,1.33188,0.8711,0.55246,0.62348,0.38285,1.20885,1.31056,1.32302,0.00058175,0.00058175,0.00058175
29,216.686,1.17662,1.30714,1.30208,0.89855,0.51899,0.62523,0.36859,1.24217,1.30312,1.35058,0.000557,0.000557,0.000557
30,223.854,1.16461,1.29233,1.29548,0.89855,0.51899,0.62523,0.36859,1.24217,1.30312,1.35058,0.00053225,0.00053225,0.00053225
31,231.885,1.24427,1.3283,1.35617,0.78384,0.62064,0.61862,0.36525,1.29807,1.29279,1.38454,0.0005075,0.0005075,0.0005075
32,239.899,1.22203,1.25272,1.31469,0.83601,0.61087,0.63712,0.3995,1.22487,1.20783,1.34183,0.00048275,0.00048275,0.00048275
33,246.889,1.18721,1.29962,1.33884,0.83601,0.61087,0.63712,0.3995,1.22487,1.20783,1.34183,0.000458,0.000458,0.000458
34,254.099,1.17578,1.23728,1.32725,0.91886,0.61362,0.65369,0.42267,1.11943,1.11547,1.27051,0.00043325,0.00043325,0.00043325
35,261.311,1.10595,1.20416,1.26679,0.91886,0.61362,0.65369,0.42267,1.11943,1.11547,1.27051,0.0004085,0.0004085,0.0004085
36,268.154,1.16076,1.20817,1.3138,0.91727,0.63018,0.67178,0.44307,1.09889,1.07141,1.24025,0.00038375,0.00038375,0.00038375
37,275.433,1.08734,1.15551,1.26592,0.91674,0.62428,0.67578,0.44694,1.09151,1.04355,1.23112,0.000359,0.000359,0.000359
38,282.042,1.09967,1.17725,1.2742,0.91674,0.62428,0.67578,0.44694,1.09151,1.04355,1.23112,0.00033425,0.00033425,0.00033425
39,289.585,1.09169,1.1621,1.26228,0.89369,0.64701,0.67674,0.45089,1.07757,1.02726,1.22718,0.0003095,0.0003095,0.0003095
40,299.169,1.15566,1.20115,1.34183,0.90787,0.63075,0.67496,0.45059,1.07537,1.02063,1.23234,0.00028475,0.00028475,0.00028475
41,308.322,0.99193,1.11571,1.23503,0.90787,0.63075,0.67496,0.45059,1.07537,1.02063,1.23234,0.00026,0.00026,0.00026
42,316.497,1.06896,1.17095,1.26564,0.89977,0.64115,0.67814,0.45082,1.06682,1.02218,1.22903,0.00023525,0.00023525,0.00023525
43,323.773,0.97249,1.09421,1.20998,0.89977,0.64115,0.67814,0.45082,1.06682,1.02218,1.22903,0.0002105,0.0002105,0.0002105
44,330.792,0.99619,1.11709,1.23245,0.90522,0.62348,0.68,0.45746,1.06208,1.01402,1.22776,0.00018575,0.00018575,0.00018575
45,347.353,1.03323,1.14859,1.25567,0.90921,0.61727,0.67332,0.45795,1.06123,1.01792,1.22804,0.000161,0.000161,0.000161
46,361.865,1.01365,1.1641,1.26344,0.90921,0.61727,0.67332,0.45795,1.06123,1.01792,1.22804,0.00013625,0.00013625,0.00013625
47,373.691,0.97411,1.08632,1.18992,0.9285,0.59084,0.67688,0.45836,1.06483,1.02042,1.23153,0.0001115,0.0001115,0.0001115
48,387.085,0.96949,1.08933,1.2081,0.92457,0.59259,0.67825,0.45831,1.05616,1.01894,1.22804,8.675e-05,8.675e-05,8.675e-05
49,399.918,1.02073,1.12768,1.24612,0.92457,0.59259,0.67825,0.45831,1.05616,1.01894,1.22804,6.2e-05,6.2e-05,6.2e-05
50,412.466,0.9658,1.05016,1.21316,0.86227,0.65153,0.6776,0.45859,1.03736,1.0132,1.22051,3.725e-05,3.725e-05,3.725e-05
